icao24,indicatif,pays_origine,derniere_position,dernier_contact,longitude,latitude,altitude_barometrique,au_sol,vitesse_sol,cap,vitesse_verticale,altitude_geometrique,source_position,horodatage
4952ac,TAP209K,Portugal,1786486657,1786486657,-59.0342,46.0491,12192.0,False,218.03,249.13,0.0,12458.7,0,2026-08-11 22:17:37+00:00
4b187d,SWR52,Switzerland,1786486406,1786486406,-58.5797,50.862,12192.0,False,233.56,231.44,0.0,12359.64,0,2026-08-11 22:17:37+00:00
3c65ab,DLH3Y,Germany,1786486650,1786486653,-66.7323,47.7342,11582.4,False,239.55,227.26,0.0,11727.18,0,2026-08-11 22:17:37+00:00
4b1885,SWR18P,Switzerland,1786486650,1786486652,-65.7436,48.392,11582.4,False,229.97,226.45,0.0,11727.18,0,2026-08-11 22:17:37+00:00
c07071,PSC713,Canada,1786486656,1786486657,-71.8229,46.1803,3078.48,False,132.0,235.32,0.0,3070.86,0,2026-08-11 22:17:37+00:00
495303,TAP233,Portugal,1786486657,1786486657,-64.0506,45.4579,10363.2,False,204.81,244.72,-0.33,10599.42,0,2026-08-11 22:17:37+00:00
c01bc8,TOR800,Canada,1786486657,1786486657,-73.642,45.81,12192.0,False,205.27,233.56,0.0,12443.46,0,2026-08-11 22:17:37+00:00
3c6573,DLH449,Germany,1786486656,1786486656,-79.8489,45.5735,11887.2,False,305.33,66.67,-0.33,12192.0,0,2026-08-11 22:17:37+00:00
c083ed,CGXYY,Canada,1786486655,1786486655,-75.9931,45.3213,243.84,False,41.01,289.8,-1.95,190.5,0,2026-08-11 22:17:37+00:00
ab77a4,N838SB,United States,1786486656,1786486657,-74.9271,45.4483,7391.4,False,107.15,258.37,8.13,7559.04,0,2026-08-11 22:17:37+00:00
c083aa,WJA2903,Canada,1786486657,1786486657,-73.4574,45.5433,1249.68,False,110.01,34.14,0.33,1219.2,0,2026-08-11 22:17:37+00:00
4080c0,BAW37J,United Kingdom,1786486655,1786486656,-63.245,49.8622,12184.38,False,239.17,228.84,0.33,12329.16,0,2026-08-11 22:17:37+00:00
3c64f8,DLH420,Germany,1786486656,1786486656,-64.107,49.4119,11582.4,False,225.73,227.4,0.0,11704.32,0,2026-08-11 22:17:37+00:00
3c64ee,DLH404,Germany,1786486648,1786486656,-65.3952,47.64,12192.0,False,223.87,222.86,0.0,12382.5,0,2026-08-11 22:17:37+00:00
469101,GNJ68,Greece,1786486657,1786486657,-67.5583,46.3236,8595.36,False,200.95,212.35,-5.2,8763.0,0,2026-08-11 22:17:37+00:00
c08441,CGYCE,Canada,1786486657,1786486657,-73.3741,45.5373,365.76,False,31.78,240.95,-0.33,,0,2026-08-11 22:17:37+00:00
a913d6,UAL135,United States,1786486657,1786486657,-63.6465,49.6769,11582.4,False,223.58,227.61,0.0,11689.08,0,2026-08-11 22:17:37+00:00
484445,KLM204,Kingdom of the Netherlands,1786486657,1786486657,-73.009,46.3451,11277.6,False,273.93,61.51,0.0,11475.72,0,2026-08-11 22:17:37+00:00
a5325b,DAL256,United States,1786486650,1786486650,-61.7192,45.2415,11887.2,False,270.73,68.02,0.0,12161.52,0,2026-08-11 22:17:37+00:00
a05648,UAL944,United States,1786486657,1786486657,-70.5892,47.5201,10050.78,False,286.65,77.98,-0.33,10172.7,0,2026-08-11 22:17:37+00:00
a95d08,N702LT,United States,1786486657,1786486657,-77.256,45.091,12961.62,False,211.87,229.04,2.28,13266.42,0,2026-08-11 22:17:37+00:00
c081a6,CRQ945,Canada,1786486657,1786486657,-73.7821,45.6829,2491.74,False,101.67,35.94,0.0,2484.12,0,2026-08-11 22:17:37+00:00
0a00cd,DAH2701,Algeria,1786486657,1786486657,-68.624,46.326,10668.0,False,262.3,62.68,0.33,10843.26,0,2026-08-11 22:17:37+00:00
7608fa,PIA790,Pakistan,1786486328,1786486369,-75.5822,48.7868,10058.4,False,254.55,31.7,0.0,10134.6,0,2026-08-11 22:17:37+00:00
c08853,POE190,Canada,1786486657,1786486657,-73.8922,46.2589,9144.0,False,218.79,243.31,0.0,9288.78,0,2026-08-11 22:17:37+00:00
c060bc,POE392,Canada,1786486656,1786486656,-79.5279,47.5937,11277.6,False,272.63,116.57,0.65,11445.24,0,2026-08-11 22:17:37+00:00
